"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","A","E",816.290879534364,1,8,"uebung",1,32,"w","l"
"2","B","C",947.999807062471,1,8,"uebung",2,32,"w","l"
"3","A","C",719.964642027003,0,8,"uebung",3,32,"w","l"
"4","B","D",783.520716018159,0,8,"uebung",4,32,"w","l"
"5","B","E",1199.70439096559,0,8,"uebung",5,32,"w","l"
"6","A","E",514.288612461779,1,8,"uebung",6,32,"w","l"
"7","A","D",433.297829274231,0,8,"uebung",7,32,"w","l"
"8","B","E",817.803751784115,1,8,"uebung",8,32,"w","l"
"9","A","C",358.345818951608,1,8,"uebung",9,32,"w","l"
"10","B","C",410.902754217158,1,8,"uebung",10,32,"w","l"
"11","B","D",655.165367584669,0,8,"uebung",11,32,"w","l"
"12","B","E",726.440745562121,1,8,"uebung",12,32,"w","l"
"13","A","C",491.124542545126,1,8,"uebung",13,32,"w","l"
"14","A","D",435.869914151867,0,8,"uebung",14,32,"w","l"
"15","A","E",629.376819802333,1,8,"uebung",15,32,"w","l"
"16","B","E",927.618829682105,0,8,"uebung",16,32,"w","l"
"17","A","E",423.330282494195,0,8,"uebung",17,32,"w","l"
"18","A","E",492.961113878479,1,8,"uebung",18,32,"w","l"
"19","B","D",946.585172783179,1,8,"uebung",19,32,"w","l"
"20","A","D",394.142868207387,1,8,"uebung",20,32,"w","l"
"21","B","E",840.530961222276,1,8,"uebung",21,32,"w","l"
"22","A","C",1283.89276547889,1,8,"uebung",22,32,"w","l"
"23","B","C",712.946854886358,1,8,"uebung",23,32,"w","l"
"24","A","C",345.417585189395,1,8,"uebung",24,32,"w","l"
"25","A","D",88.4670185953733,1,8,"uebung",25,32,"w","l"
"26","A","E",517.401762762713,1,8,"uebung",26,32,"w","l"
"27","A","C",335.401575030331,0,8,"uebung",27,32,"w","l"
"28","B","D",406.182444711585,1,8,"uebung",28,32,"w","l"
"29","A","C",755.643540789246,1,8,"uebung",29,32,"w","l"
"30","B","C",1006.11723359173,0,8,"uebung",30,32,"w","l"
"31","B","C",1667.53832796175,1,8,"uebung",31,32,"w","l"
"32","A","E",611.828681932032,1,8,"uebung",32,32,"w","l"
"33","B","C",362.756392832032,1,8,"uebung",33,32,"w","l"
"34","B","C",420.196099188975,1,8,"uebung",34,32,"w","l"
"35","A","E",628.226551113957,1,8,"uebung",35,32,"w","l"
"36","A","E",1053.44708809256,1,8,"uebung",36,32,"w","l"
"37","B","C",489.438968320629,1,8,"experiment",37,32,"w","l"
"38","A","C",534.929146716757,1,8,"experiment",38,32,"w","l"
"39","A","D",618.709878234123,0,8,"experiment",39,32,"w","l"
"40","A","D",396.853332720982,1,8,"experiment",40,32,"w","l"
"41","B","D",736.293361631647,1,8,"experiment",41,32,"w","l"
"42","B","C",847.775581799496,1,8,"experiment",42,32,"w","l"
"43","B","D",656.448868424352,0,8,"experiment",43,32,"w","l"
"44","A","C",483.786706371136,1,8,"experiment",44,32,"w","l"
"45","A","C",417.611313873973,1,8,"experiment",45,32,"w","l"
"46","B","E",1398.77220171478,0,8,"experiment",46,32,"w","l"
"47","A","E",406.137471917603,1,8,"experiment",47,32,"w","l"
"48","A","E",643.432681179286,1,8,"experiment",48,32,"w","l"
"49","B","E",958.567269234112,0,8,"experiment",49,32,"w","l"
"50","A","C",458.542985908192,1,8,"experiment",50,32,"w","l"
"51","B","C",784.498037958784,1,8,"experiment",51,32,"w","l"
"52","A","C",740.236984814136,0,8,"experiment",52,32,"w","l"
"53","A","D",417.390344313593,1,8,"experiment",53,32,"w","l"
"54","A","D",581.612823074851,1,8,"experiment",54,32,"w","l"
"55","B","C",1093.51336997572,1,8,"experiment",55,32,"w","l"
"56","A","C",1338.18373197121,1,8,"experiment",56,32,"w","l"
"57","B","D",699.268884014794,1,8,"experiment",57,32,"w","l"
"58","A","D",157.551741466297,1,8,"experiment",58,32,"w","l"
"59","A","C",572.300437447716,1,8,"experiment",59,32,"w","l"
"60","B","C",461.520948278778,1,8,"experiment",60,32,"w","l"
"61","B","C",1132.88250820203,1,8,"experiment",61,32,"w","l"
"62","B","C",790.187211743853,0,8,"experiment",62,32,"w","l"
"63","A","D",86.0312798306005,0,8,"experiment",63,32,"w","l"
"64","A","C",469.983196467991,0,8,"experiment",64,32,"w","l"
"65","A","E",1094.46873668288,1,8,"experiment",65,32,"w","l"
"66","B","E",660.969062266602,1,8,"experiment",66,32,"w","l"
"67","B","D",627.749990376804,1,8,"experiment",67,32,"w","l"
