"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","A","E",853.809472309896,1,5,"uebung",1,34,"m","l"
"2","A","E",560.08565389172,1,5,"uebung",2,34,"m","l"
"3","B","C",540.400434882099,1,5,"uebung",3,34,"m","l"
"4","B","D",974.949919191147,0,5,"uebung",4,34,"m","l"
"5","B","D",527.453915780428,1,5,"uebung",5,34,"m","l"
"6","B","D",869.988763769827,1,5,"uebung",6,34,"m","l"
"7","A","C",494.962158725973,1,5,"uebung",7,34,"m","l"
"8","A","C",426.50820755856,1,5,"uebung",8,34,"m","l"
"9","B","C",677.90606098814,0,5,"uebung",9,34,"m","l"
"10","B","E",487.458686805537,1,5,"uebung",10,34,"m","l"
"11","A","E",629.511505795131,1,5,"uebung",11,34,"m","l"
"12","A","E",558.12573155978,1,5,"uebung",12,34,"m","l"
"13","B","D",944.862545844771,1,5,"uebung",13,34,"m","l"
"14","A","C",255.359425818255,0,5,"uebung",14,34,"m","l"
"15","B","D",655.039584912777,1,5,"uebung",15,34,"m","l"
"16","B","E",613.219120977694,1,5,"uebung",16,34,"m","l"
"17","B","C",1296.17819728867,1,5,"uebung",17,34,"m","l"
"18","A","D",803.891935304247,0,5,"uebung",18,34,"m","l"
"19","B","C",552.004248871092,0,5,"uebung",19,34,"m","l"
"20","A","C",388.20975892418,0,5,"uebung",20,34,"m","l"
"21","A","D",841.430335345997,1,5,"uebung",21,34,"m","l"
"22","A","E",1476.61162783462,1,5,"uebung",22,34,"m","l"
"23","A","D",427.436281068874,1,5,"uebung",23,34,"m","l"
"24","A","D",711.77704062666,0,5,"uebung",24,34,"m","l"
"25","A","D",697.824154075452,1,5,"uebung",25,34,"m","l"
"26","B","C",2152.58115390008,1,5,"uebung",26,34,"m","l"
"27","B","C",578.0056008417,1,5,"uebung",27,34,"m","l"
"28","B","C",494.779555384498,1,5,"uebung",28,34,"m","l"
"29","A","E",742.063692852552,1,5,"uebung",29,34,"m","l"
"30","A","C",354.272790789509,1,5,"uebung",30,34,"m","l"
"31","A","C",478.624171715189,1,5,"uebung",31,34,"m","l"
"32","B","C",601.208879969439,0,5,"uebung",32,34,"m","l"
"33","B","D",934.917709450723,1,5,"uebung",33,34,"m","l"
"34","A","E",817.79612960968,0,5,"uebung",34,34,"m","l"
"35","B","D",734.882214038283,0,5,"uebung",35,34,"m","l"
"36","B","E",560.653325014225,1,5,"uebung",36,34,"m","l"
"37","B","C",375.274033115788,1,5,"experiment",37,34,"m","l"
"38","A","C",384.191609597564,0,5,"experiment",38,34,"m","l"
"39","A","E",483.882665245622,0,5,"experiment",39,34,"m","l"
"40","A","E",1134.55775555081,0,5,"experiment",40,34,"m","l"
"41","A","C",419.732511122859,0,5,"experiment",41,34,"m","l"
"42","B","D",777.123408812588,1,5,"experiment",42,34,"m","l"
"43","B","D",585.379991767497,1,5,"experiment",43,34,"m","l"
"44","A","E",980.522972607408,1,5,"experiment",44,34,"m","l"
