"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","A","C",247.610786388904,1,2,"uebung",1,34,"m","r"
"2","A","E",379.880578576741,1,2,"uebung",2,34,"m","r"
"3","B","E",878.880367973542,1,2,"uebung",3,34,"m","r"
"4","A","C",281.429213071874,1,2,"uebung",4,34,"m","r"
"5","A","E",453.481809670033,1,2,"uebung",5,34,"m","r"
"6","A","E",868.248063655639,1,2,"uebung",6,34,"m","r"
"7","B","D",403.96852577397,1,2,"uebung",7,34,"m","r"
"8","B","C",293.860227824728,0,2,"uebung",8,34,"m","r"
"9","A","C",450.681221023822,1,2,"uebung",9,34,"m","r"
"10","A","C",937.818912352903,1,2,"uebung",10,34,"m","r"
"11","B","D",652.233562721311,1,2,"uebung",11,34,"m","r"
"12","B","E",732.179185002984,0,2,"uebung",12,34,"m","r"
"13","B","D",485.613927275622,1,2,"uebung",13,34,"m","r"
"14","B","D",719.889200218164,1,2,"uebung",14,34,"m","r"
"15","B","C",809.841033051529,0,2,"uebung",15,34,"m","r"
"16","A","E",847.88265794417,0,2,"uebung",16,34,"m","r"
"17","B","E",651.403721948676,0,2,"uebung",17,34,"m","r"
"18","A","D",632.671974234123,1,2,"uebung",18,34,"m","r"
"19","A","D",501.381651474408,1,2,"uebung",19,34,"m","r"
"20","B","E",1432.65164213038,1,2,"uebung",20,34,"m","r"
"21","A","D",400.276045822342,1,2,"uebung",21,34,"m","r"
"22","B","D",625.875507830388,1,2,"uebung",22,34,"m","r"
"23","B","C",442.277005932314,1,2,"uebung",23,34,"m","r"
"24","A","E",480.665864517738,1,2,"uebung",24,34,"m","r"
"25","B","E",621.066602616615,1,2,"uebung",25,34,"m","r"
"26","A","C",602.050763597719,1,2,"uebung",26,34,"m","r"
"27","A","C",278.906469857469,1,2,"uebung",27,34,"m","r"
"28","A","D",1430.96355972459,1,2,"uebung",28,34,"m","r"
"29","B","C",256.093747328147,1,2,"uebung",29,34,"m","r"
"30","A","E",654.267214046642,0,2,"uebung",30,34,"m","r"
"31","A","E",836.14844010157,1,2,"uebung",31,34,"m","r"
"32","A","C",179.257966378225,0,2,"uebung",32,34,"m","r"
"33","B","E",842.623140849275,1,2,"uebung",33,34,"m","r"
"34","A","C",499.597099100824,0,2,"uebung",34,34,"m","r"
"35","A","E",1174.00764216998,1,2,"uebung",35,34,"m","r"
"36","A","E",831.481965689385,1,2,"uebung",36,34,"m","r"
"37","B","E",541.844740010546,1,2,"experiment",37,34,"m","r"
"38","A","C",510.908992977772,1,2,"experiment",38,34,"m","r"
"39","A","E",950.278764856949,1,2,"experiment",39,34,"m","r"
"40","B","D",856.502268543915,1,2,"experiment",40,34,"m","r"
"41","B","C",380.885144374232,1,2,"experiment",41,34,"m","r"
"42","A","C",660.76938773945,0,2,"experiment",42,34,"m","r"
"43","A","D",618.255876398428,1,2,"experiment",43,34,"m","r"
"44","B","E",563.227862886304,1,2,"experiment",44,34,"m","r"
"45","A","E",330.146748920642,1,2,"experiment",45,34,"m","r"
"46","B","E",637.254567252821,1,2,"experiment",46,34,"m","r"
"47","B","E",718.747584643401,1,2,"experiment",47,34,"m","r"
"48","A","C",464.381077279441,1,2,"experiment",48,34,"m","r"
"49","B","E",526.050240400115,0,2,"experiment",49,34,"m","r"
"50","A","D",850.289920667635,0,2,"experiment",50,34,"m","r"
"51","A","C",663.2219221732,1,2,"experiment",51,34,"m","r"
"52","A","D",976.99696370972,1,2,"experiment",52,34,"m","r"
"53","A","E",538.209538303481,1,2,"experiment",53,34,"m","r"
"54","B","D",646.958012165749,1,2,"experiment",54,34,"m","r"
"55","A","C",453.971851469015,1,2,"experiment",55,34,"m","r"
"56","A","E",819.382205172893,1,2,"experiment",56,34,"m","r"
"57","B","C",571.042595993734,1,2,"experiment",57,34,"m","r"
"58","A","D",695.649396186353,1,2,"experiment",58,34,"m","r"
"59","A","E",649.447310535837,1,2,"experiment",59,34,"m","r"
