"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","A","D",584.366210330671,1,1,"uebung",1,22,"w","l"
"2","A","E",400.648559179367,0,1,"uebung",2,22,"w","l"
"3","A","E",359.571970287388,1,1,"uebung",3,22,"w","l"
"4","A","E",402.963943144001,1,1,"uebung",4,22,"w","l"
"5","A","E",1849.90174488765,1,1,"uebung",5,22,"w","l"
"6","B","E",935.491347208049,1,1,"uebung",6,22,"w","l"
"7","B","E",600.69997542612,1,1,"uebung",7,22,"w","l"
"8","A","E",1361.804033055,1,1,"uebung",8,22,"w","l"
"9","B","E",841.680245383552,1,1,"uebung",9,22,"w","l"
"10","B","E",1250.78750489296,1,1,"uebung",10,22,"w","l"
"11","A","D",690.61936350067,0,1,"uebung",11,22,"w","l"
"12","B","D",621.030195082314,1,1,"uebung",12,22,"w","l"
"13","A","D",610.860848499915,1,1,"uebung",13,22,"w","l"
"14","A","D",704.773002885815,1,1,"uebung",14,22,"w","l"
"15","A","C",410.067368450508,1,1,"uebung",15,22,"w","l"
"16","B","C",394.231812751793,1,1,"uebung",16,22,"w","l"
"17","B","E",668.565056006582,1,1,"uebung",17,22,"w","l"
"18","B","C",667.306760913102,1,1,"uebung",18,22,"w","l"
"19","B","E",790.592509682753,1,1,"uebung",19,22,"w","l"
"20","B","E",581.936893860792,1,1,"uebung",20,22,"w","l"
"21","A","D",707.511800157159,1,1,"uebung",21,22,"w","l"
"22","A","D",865.83035843902,0,1,"uebung",22,22,"w","l"
"23","B","C",471.548073896855,0,1,"uebung",23,22,"w","l"
"24","A","E",930.339607621834,1,1,"uebung",24,22,"w","l"
"25","A","D",1871.8053050509,0,1,"uebung",25,22,"w","l"
"26","B","D",611.689478291338,1,1,"uebung",26,22,"w","l"
"27","A","D",793.409025033229,0,1,"uebung",27,22,"w","l"
"28","B","E",477.251852293787,1,1,"uebung",28,22,"w","l"
"29","A","E",395.006295035633,1,1,"uebung",29,22,"w","l"
"30","A","D",603.278872350714,1,1,"uebung",30,22,"w","l"
"31","A","D",995.607962805528,0,1,"uebung",31,22,"w","l"
"32","A","D",655.030067058221,0,1,"uebung",32,22,"w","l"
"33","B","C",499.39194547053,0,1,"uebung",33,22,"w","l"
"34","A","D",1437.0014950537,1,1,"uebung",34,22,"w","l"
"35","B","D",1039.45802185287,1,1,"uebung",35,22,"w","l"
"36","A","D",615.60311910865,1,1,"uebung",36,22,"w","l"
"37","A","E",533.109185497731,1,1,"experiment",37,22,"w","l"
"38","B","D",563.67943051854,1,1,"experiment",38,22,"w","l"
"39","A","E",1508.85750052115,1,1,"experiment",39,22,"w","l"
"40","B","E",472.919480106703,0,1,"experiment",40,22,"w","l"
"41","B","E",609.542736029339,0,1,"experiment",41,22,"w","l"
"42","A","C",207.151125484917,1,1,"experiment",42,22,"w","l"
"43","B","D",765.661315327924,0,1,"experiment",43,22,"w","l"
"44","A","E",495.324118365442,1,1,"experiment",44,22,"w","l"
"45","A","D",740.407455825192,1,1,"experiment",45,22,"w","l"
"46","B","D",809.830961775962,0,1,"experiment",46,22,"w","l"
"47","A","C",775.698362893876,1,1,"experiment",47,22,"w","l"
"48","B","D",1081.33286692817,1,1,"experiment",48,22,"w","l"
"49","A","C",546.921631564651,1,1,"experiment",49,22,"w","l"
"50","B","C",595.870629350308,1,1,"experiment",50,22,"w","l"
"51","A","C",755.784646891069,1,1,"experiment",51,22,"w","l"
"52","B","C",317.013843014794,1,1,"experiment",52,22,"w","l"
"53","B","E",707.915313731401,1,1,"experiment",53,22,"w","l"
"54","A","D",856.878025586621,0,1,"experiment",54,22,"w","l"
"55","B","E",773.165163029557,0,1,"experiment",55,22,"w","l"
"56","B","D",624.091837691622,1,1,"experiment",56,22,"w","l"
"57","B","C",802.896699150057,1,1,"experiment",57,22,"w","l"
"58","B","C",585.849894871864,1,1,"experiment",58,22,"w","l"
"59","A","E",546.828110279164,1,1,"experiment",59,22,"w","l"
"60","A","E",561.15099625161,1,1,"experiment",60,22,"w","l"
"61","B","D",1170.08419241848,1,1,"experiment",61,22,"w","l"
"62","B","C",590.869267093328,1,1,"experiment",62,22,"w","l"
"63","B","D",1072.36577408737,1,1,"experiment",63,22,"w","l"
"64","B","D",585.385468473097,1,1,"experiment",64,22,"w","l"
"65","B","E",722.774471864411,1,1,"experiment",65,22,"w","l"
"66","B","E",535.206677045179,1,1,"experiment",66,22,"w","l"
"67","A","D",636.141452952641,1,1,"experiment",67,22,"w","l"
"68","A","C",455.484692212895,1,1,"experiment",68,22,"w","l"
"69","B","D",567.387506230346,1,1,"experiment",69,22,"w","l"
"70","A","C",332.696113808278,1,1,"experiment",70,22,"w","l"
"71","A","D",774.656861185118,0,1,"experiment",71,22,"w","l"
"72","B","E",710.29891247097,1,1,"experiment",72,22,"w","l"
"73","B","D",587.557621777811,1,1,"experiment",73,22,"w","l"
"74","A","D",587.371621852872,1,1,"experiment",74,22,"w","l"
"75","B","D",590.437419679924,1,1,"experiment",75,22,"w","l"
"76","A","E",381.218487218932,0,1,"experiment",76,22,"w","l"
"77","B","C",214.505477885288,1,1,"experiment",77,22,"w","l"
"78","A","D",1465.72806379542,1,1,"experiment",78,22,"w","l"
"79","A","C",327.581459987749,1,1,"experiment",79,22,"w","l"
"80","A","D",824.770922442858,1,1,"experiment",80,22,"w","l"
"81","A","E",315.150405059648,0,1,"experiment",81,22,"w","l"
"82","B","E",497.566012900405,1,1,"experiment",82,22,"w","l"
"83","B","D",715.396792000976,1,1,"experiment",83,22,"w","l"
"84","B","D",733.247916996478,1,1,"experiment",84,22,"w","l"
"85","A","C",422.902014435084,0,1,"experiment",85,22,"w","l"
"86","A","C",597.880335004949,0,1,"experiment",86,22,"w","l"
"87","A","D",658.773288989354,1,1,"experiment",87,22,"w","l"
"88","B","E",640.074753362179,1,1,"experiment",88,22,"w","l"
"89","B","C",344.087147565772,1,1,"experiment",89,22,"w","l"
"90","B","C",450.097341161863,0,1,"experiment",90,22,"w","l"
"91","A","D",963.065678184088,1,1,"experiment",91,22,"w","l"
"92","B","E",882.770286651846,1,1,"experiment",92,22,"w","l"
"93","A","E",356.35442533363,1,1,"experiment",93,22,"w","l"
"94","A","C",434.643146347706,1,1,"experiment",94,22,"w","l"
"95","B","E",467.550289825434,1,1,"experiment",95,22,"w","l"
"96","A","C",781.831821014991,1,1,"experiment",96,22,"w","l"
"97","B","C",389.110117053895,0,1,"experiment",97,22,"w","l"
"98","B","E",581.309439393156,0,1,"experiment",98,22,"w","l"
"99","A","E",499.049052257638,0,1,"experiment",99,22,"w","l"
"100","A","E",1155.18182147336,1,1,"experiment",100,22,"w","l"
"101","B","E",537.669476767543,1,1,"experiment",101,22,"w","l"
"102","B","C",489.141089485196,1,1,"experiment",102,22,"w","l"
"103","B","E",1162.26065989174,0,1,"experiment",103,22,"w","l"
"104","B","D",790.321275781571,0,1,"experiment",104,22,"w","l"
"105","A","C",283.785238524589,0,1,"experiment",105,22,"w","l"
"106","B","C",357.391951009565,1,1,"experiment",106,22,"w","l"
"107","B","D",527.529654563455,1,1,"experiment",107,22,"w","l"
"108","B","E",934.706416551822,1,1,"experiment",108,22,"w","l"
"109","B","C",598.151180970277,1,1,"experiment",109,22,"w","l"
"110","A","E",495.4068792559,0,1,"experiment",110,22,"w","l"
"111","B","E",460.515424278119,1,1,"experiment",111,22,"w","l"
"112","A","C",986.731146857075,0,1,"experiment",112,22,"w","l"
"113","A","C",554.236562638429,1,1,"experiment",113,22,"w","l"
"114","A","E",549.490013036687,1,1,"experiment",114,22,"w","l"
"115","B","D",1171.70810034544,1,1,"experiment",115,22,"w","l"
"116","A","D",676.840370499616,0,1,"experiment",116,22,"w","l"
"117","B","C",406.661153746951,1,1,"experiment",117,22,"w","l"
"118","B","D",653.886069669193,0,1,"experiment",118,22,"w","l"
"119","A","C",234.789991106974,1,1,"experiment",119,22,"w","l"
"120","B","E",925.006847683386,1,1,"experiment",120,22,"w","l"
"121","B","C",971.756696292917,1,1,"experiment",121,22,"w","l"
"122","A","E",727.224615504136,1,1,"experiment",122,22,"w","l"
"123","B","C",444.28377568182,1,1,"experiment",123,22,"w","l"
"124","A","C",360.372927615768,0,1,"experiment",124,22,"w","l"
"125","A","D",733.745827588059,0,1,"experiment",125,22,"w","l"
"126","A","E",330.253987143886,1,1,"experiment",126,22,"w","l"
"127","A","C",192.257498279882,1,1,"experiment",127,22,"w","l"
"128","B","E",631.049725589594,1,1,"experiment",128,22,"w","l"
"129","A","C",438.383406064688,1,1,"experiment",129,22,"w","l"
"130","B","E",624.68770930122,1,1,"experiment",130,22,"w","l"
"131","A","C",418.221900288098,1,1,"experiment",131,22,"w","l"
"132","A","C",225.460394846705,1,1,"experiment",132,22,"w","l"
"133","A","D",507.916390004839,1,1,"experiment",133,22,"w","l"
"134","B","C",453.311187510478,1,1,"experiment",134,22,"w","l"
"135","A","D",870.244407791809,1,1,"experiment",135,22,"w","l"
"136","A","C",267.06687972106,1,1,"experiment",136,22,"w","l"
"137","A","C",399.818902043438,0,1,"experiment",137,22,"w","l"
"138","B","D",698.208014721212,1,1,"experiment",138,22,"w","l"
"139","A","E",282.012075602644,1,1,"experiment",139,22,"w","l"
"140","B","C",902.094989053448,0,1,"experiment",140,22,"w","l"
"141","A","D",775.900991961505,1,1,"experiment",141,22,"w","l"
"142","A","D",801.333606139153,1,1,"experiment",142,22,"w","l"
"143","A","C",508.368617698833,1,1,"experiment",143,22,"w","l"
"144","A","C",210.148064279995,1,1,"experiment",144,22,"w","l"
"145","A","E",431.486177605084,1,1,"experiment",145,22,"w","l"
"146","B","E",853.14369063822,1,1,"experiment",146,22,"w","l"
"147","B","E",766.008509647412,1,1,"experiment",147,22,"w","l"
"148","B","D",862.413029082836,1,1,"experiment",148,22,"w","l"
"149","A","D",757.067521873962,1,1,"experiment",149,22,"w","l"
"150","B","E",645.431317902792,1,1,"experiment",150,22,"w","l"
"151","B","D",613.479948267233,0,1,"experiment",151,22,"w","l"
"152","B","D",924.38522762227,1,1,"experiment",152,22,"w","l"
"153","A","D",1020.8732408502,1,1,"experiment",153,22,"w","l"
"154","B","D",584.822224347953,1,1,"experiment",154,22,"w","l"
"155","B","C",456.057543784562,1,1,"experiment",155,22,"w","l"
"156","A","E",640.715368834279,1,1,"experiment",156,22,"w","l"
"157","B","E",674.857749280896,1,1,"experiment",157,22,"w","l"
"158","B","D",540.443963354791,1,1,"experiment",158,22,"w","l"
"159","B","E",1656.59046511798,1,1,"experiment",159,22,"w","l"
"160","A","C",58.5244302718072,0,1,"experiment",160,22,"w","l"
"161","B","C",415.013178081994,1,1,"experiment",161,22,"w","l"
"162","A","E",406.705155775877,1,1,"experiment",162,22,"w","l"
"163","A","C",459.887531533952,1,1,"experiment",163,22,"w","l"
"164","A","D",731.934704674105,1,1,"experiment",164,22,"w","l"
