"","Condition1","Condition2","id","rt","p","corr","vpnr","phase","age","gender","hand"
"1","-1","-1","K13",2075.27669831195,0.7,1,13,"uebung",28,"m","r"
"2","-1","-1","K13",1200.15690635205,0.7,1,13,"uebung",28,"m","r"
"3","-1","-1","K13",998.923945287049,0.7,1,13,"uebung",28,"m","r"
"4","-1","-1","K13",1190.4263679875,0.7,1,13,"uebung",28,"m","r"
"5","-1","-1","K13",929.908668768933,0.7,1,13,"uebung",28,"m","r"
"6","-1","-1","K13",1418.72266899542,0.7,1,13,"uebung",28,"m","r"
"7","-1","-1","K13",1261.10013841174,0.7,1,13,"experiment",28,"m","r"
"8","-1","-1","K13",978.746844975279,0.7,0,13,"experiment",28,"m","r"
"9","-1","-1","K13",1104.41835241169,0.7,0,13,"experiment",28,"m","r"
"10","-1","-1","K13",1277.243367598,0.7,0,13,"experiment",28,"m","r"
"11","-1","-1","K13",1426.85984177851,0.7,0,13,"experiment",28,"m","r"
"12","-1","-1","K13",952.792040223014,0.7,1,13,"experiment",28,"m","r"
"13","-1","-1","K13",1028.0159663922,0.7,1,13,"experiment",28,"m","r"
"14","-1","-1","K13",986.073926645291,0.7,1,13,"experiment",28,"m","r"
"15","-1","-1","K13",961.320743766815,0.7,1,13,"experiment",28,"m","r"
"16","-1","-1","K13",1014.30298289489,0.7,1,13,"experiment",28,"m","r"
"17","-1","-1","K13",1273.57013320772,0.7,0,13,"experiment",28,"m","r"
"18","-1","-1","K13",1376.39155288453,0.7,0,13,"experiment",28,"m","r"
"19","-1","-1","K13",1063.74633087656,0.7,1,13,"experiment",28,"m","r"
"20","-1","-1","K13",999.557945815202,0.7,1,13,"experiment",28,"m","r"
"21","-1","-1","K13",1366.67146732083,0.7,1,13,"experiment",28,"m","r"
"22","-1","-1","K13",982.620233252133,0.7,1,13,"experiment",28,"m","r"
"23","-1","-1","K13",1242.99539194912,0.7,1,13,"experiment",28,"m","r"
"24","-1","-1","K13",1058.55075744363,0.7,1,13,"experiment",28,"m","r"
"25","-1","-1","K13",1067.4141473238,0.7,0,13,"experiment",28,"m","r"
"26","-1","-1","K13",1106.24882631494,0.7,1,13,"experiment",28,"m","r"
"27","-1","-1","K13",1139.60735897452,0.7,1,13,"experiment",28,"m","r"
"28","-1","-1","K13",1164.65513326798,0.7,0,13,"experiment",28,"m","r"
"29","-1","-1","K13",1179.15917325151,0.7,0,13,"experiment",28,"m","r"
"30","-1","-1","K13",1101.10517407589,0.7,0,13,"experiment",28,"m","r"
"31","-1","-1","K13",931.196094755425,0.7,1,13,"experiment",28,"m","r"
"32","-1","-1","K13",1048.92945371913,0.7,1,13,"experiment",28,"m","r"
"33","-1","-1","K13",1012.67779559898,0.7,1,13,"experiment",28,"m","r"
"34","-1","-1","K13",1321.88418610671,0.7,1,13,"experiment",28,"m","r"
"35","-1","-1","K13",1164.06797417894,0.7,0,13,"experiment",28,"m","r"
"36","-1","-1","K13",798.585171847047,0.7,1,13,"experiment",28,"m","r"
"37","-1","-1","K13",1662.43855555611,0.7,0,13,"experiment",28,"m","r"
"38","-1","-1","K13",1013.47479880004,0.7,1,13,"experiment",28,"m","r"
"39","-1","-1","K13",1286.07160944721,0.7,1,13,"experiment",28,"m","r"
"40","-1","-1","K13",1233.29054118995,0.7,1,13,"experiment",28,"m","r"
"41","-1","-1","K13",1205.80724114564,0.7,1,13,"experiment",28,"m","r"
"42","-1","-1","K13",899.102054852459,0.7,0,13,"experiment",28,"m","r"
"43","-1","-1","K13",1320.11491209935,0.7,1,13,"experiment",28,"m","r"
"44","-1","-1","K13",1108.0435809214,0.7,0,13,"experiment",28,"m","r"
"45","-1","-1","K13",1198.98446787149,0.7,1,13,"experiment",28,"m","r"
"46","-1","-1","K13",1234.72586447857,0.7,1,13,"experiment",28,"m","r"
"47","-1","-1","K13",1002.07469756127,0.7,1,13,"experiment",28,"m","r"
"48","-1","-1","K13",1108.22300784824,0.7,1,13,"experiment",28,"m","r"
"49","-1","-1","K13",1411.71215976838,0.7,1,13,"experiment",28,"m","r"
"50","-1","-1","K13",813.10393455893,0.7,1,13,"experiment",28,"m","r"
"51","-1","-1","K13",942.037064163605,0.7,0,13,"experiment",28,"m","r"
"52","-1","-1","K13",1158.86184513993,0.7,1,13,"experiment",28,"m","r"
"53","-1","-1","K13",956.933312342413,0.7,1,13,"experiment",28,"m","r"
"54","-1","-1","K13",1073.15395100603,0.7,1,13,"experiment",28,"m","r"
"55","-1","-1","K13",1167.34076376978,0.7,1,13,"experiment",28,"m","r"
"56","-1","-1","K13",968.403387409814,0.7,0,13,"experiment",28,"m","r"
"57","-1","-1","K13",1592.50602542896,0.7,0,13,"experiment",28,"m","r"
"58","-1","-1","K13",1227.27334183063,0.7,1,13,"experiment",28,"m","r"
"59","-1","-1","K13",1013.71870105434,0.7,1,13,"experiment",28,"m","r"
"60","-1","-1","K13",1134.6359080298,0.7,0,13,"experiment",28,"m","r"
"61","1","-1","K13",1410.66722015179,0.8,1,13,"uebung",28,"m","r"
"62","1","-1","K13",1104.19277230277,0.8,1,13,"uebung",28,"m","r"
"63","1","-1","K13",1127.81689369017,0.8,0,13,"uebung",28,"m","r"
"64","1","-1","K13",934.742765151932,0.8,1,13,"uebung",28,"m","r"
"65","1","-1","K13",1257.92736124598,0.8,1,13,"uebung",28,"m","r"
"66","1","-1","K13",854.690347401549,0.8,1,13,"uebung",28,"m","r"
"67","1","-1","K13",949.707323163492,0.8,0,13,"experiment",28,"m","r"
"68","1","-1","K13",1166.49958054072,0.8,1,13,"experiment",28,"m","r"
"69","1","-1","K13",998.001425399557,0.8,0,13,"experiment",28,"m","r"
"70","1","-1","K13",1022.04410556984,0.8,1,13,"experiment",28,"m","r"
"71","1","-1","K13",1733.30127986208,0.8,0,13,"experiment",28,"m","r"
"72","1","-1","K13",1386.96651807697,0.8,0,13,"experiment",28,"m","r"
"73","1","-1","K13",1163.73769601996,0.8,0,13,"experiment",28,"m","r"
"74","1","-1","K13",1099.46833487722,0.8,1,13,"experiment",28,"m","r"
"75","1","-1","K13",1171.71594121862,0.8,1,13,"experiment",28,"m","r"
"76","1","-1","K13",1034.21875068923,0.8,1,13,"experiment",28,"m","r"
"77","1","-1","K13",814.456263496688,0.8,0,13,"experiment",28,"m","r"
"78","1","-1","K13",1024.98835119925,0.8,1,13,"experiment",28,"m","r"
"79","1","-1","K13",1465.94663168351,0.8,1,13,"experiment",28,"m","r"
"80","1","-1","K13",1045.79998715097,0.8,1,13,"experiment",28,"m","r"
"81","1","-1","K13",1135.85753036442,0.8,1,13,"experiment",28,"m","r"
"82","1","-1","K13",1387.35033800915,0.8,1,13,"experiment",28,"m","r"
"83","1","-1","K13",1250.85493053296,0.8,1,13,"experiment",28,"m","r"
"84","1","-1","K13",1145.29088931381,0.8,1,13,"experiment",28,"m","r"
"85","1","-1","K13",1230.36948834151,0.8,1,13,"experiment",28,"m","r"
"86","1","-1","K13",1059.49049262631,0.8,1,13,"experiment",28,"m","r"
"87","1","-1","K13",1236.81207700982,0.8,0,13,"experiment",28,"m","r"
"88","1","-1","K13",1497.92513868714,0.8,1,13,"experiment",28,"m","r"
"89","1","-1","K13",1092.23199795855,0.8,0,13,"experiment",28,"m","r"
"90","1","-1","K13",1173.34273472006,0.8,1,13,"experiment",28,"m","r"
"91","1","-1","K13",1729.83904068858,0.8,1,13,"experiment",28,"m","r"
"92","1","-1","K13",1204.98316673639,0.8,1,13,"experiment",28,"m","r"
"93","1","-1","K13",1184.53710677408,0.8,1,13,"experiment",28,"m","r"
"94","1","-1","K13",1394.12561228379,0.8,1,13,"experiment",28,"m","r"
"95","1","-1","K13",1129.85156718847,0.8,1,13,"experiment",28,"m","r"
"96","1","-1","K13",987.939897196223,0.8,1,13,"experiment",28,"m","r"
"97","1","-1","K13",1616.31093626204,0.8,1,13,"experiment",28,"m","r"
"98","1","-1","K13",1235.3494169607,0.8,1,13,"experiment",28,"m","r"
"99","1","-1","K13",1096.75965261105,0.8,1,13,"experiment",28,"m","r"
"100","1","-1","K13",1260.62913345071,0.8,0,13,"experiment",28,"m","r"
"101","1","-1","K13",961.022942719791,0.8,1,13,"experiment",28,"m","r"
"102","1","-1","K13",1260.08960726136,0.8,1,13,"experiment",28,"m","r"
"103","1","-1","K13",870.473872709518,0.8,0,13,"experiment",28,"m","r"
"104","1","-1","K13",1467.70178526553,0.8,1,13,"experiment",28,"m","r"
"105","1","-1","K13",1141.36622628587,0.8,1,13,"experiment",28,"m","r"
"106","1","-1","K13",882.484673614875,0.8,1,13,"experiment",28,"m","r"
"107","1","-1","K13",1063.17800100427,0.8,0,13,"experiment",28,"m","r"
"108","1","-1","K13",1336.10346432487,0.8,1,13,"experiment",28,"m","r"
"109","1","-1","K13",1122.05032640653,0.8,0,13,"experiment",28,"m","r"
"110","1","-1","K13",1101.34222663553,0.8,1,13,"experiment",28,"m","r"
"111","1","-1","K13",1173.09424474858,0.8,1,13,"experiment",28,"m","r"
"112","1","-1","K13",1019.896810693,0.8,1,13,"experiment",28,"m","r"
"113","1","-1","K13",1864.96272480081,0.8,1,13,"experiment",28,"m","r"
"114","1","-1","K13",1147.45648839897,0.8,1,13,"experiment",28,"m","r"
"115","1","-1","K13",1296.34326458459,0.8,1,13,"experiment",28,"m","r"
"116","1","-1","K13",1108.79225212556,0.8,1,13,"experiment",28,"m","r"
"117","1","-1","K13",1125.13105315724,0.8,0,13,"experiment",28,"m","r"
"118","1","-1","K13",1167.24461122766,0.8,1,13,"experiment",28,"m","r"
"119","1","-1","K13",1484.37721084225,0.8,1,13,"experiment",28,"m","r"
"120","1","-1","K13",1208.54310922594,0.8,0,13,"experiment",28,"m","r"
"121","-1","1","K13",1092.00840381282,0.8,1,13,"uebung",28,"m","r"
"122","-1","1","K13",1351.64129582359,0.8,0,13,"uebung",28,"m","r"
"123","-1","1","K13",1251.21714613913,0.8,1,13,"uebung",28,"m","r"
"124","-1","1","K13",1123.11354446265,0.8,1,13,"uebung",28,"m","r"
"125","-1","1","K13",1431.40613438625,0.8,1,13,"uebung",28,"m","r"
"126","-1","1","K13",1104.65376479294,0.8,1,13,"uebung",28,"m","r"
"127","-1","1","K13",1127.72598450064,0.8,1,13,"experiment",28,"m","r"
"128","-1","1","K13",853.040477058182,0.8,1,13,"experiment",28,"m","r"
"129","-1","1","K13",877.47566982714,0.8,1,13,"experiment",28,"m","r"
"130","-1","1","K13",1434.12913753067,0.8,1,13,"experiment",28,"m","r"
"131","-1","1","K13",1063.09398221197,0.8,1,13,"experiment",28,"m","r"
"132","-1","1","K13",1027.79556005541,0.8,1,13,"experiment",28,"m","r"
"133","-1","1","K13",1705.04043979035,0.8,1,13,"experiment",28,"m","r"
"134","-1","1","K13",1098.42688459059,0.8,1,13,"experiment",28,"m","r"
"135","-1","1","K13",1107.40241746837,0.8,1,13,"experiment",28,"m","r"
"136","-1","1","K13",1027.19323313785,0.8,1,13,"experiment",28,"m","r"
"137","-1","1","K13",1422.85419176557,0.8,0,13,"experiment",28,"m","r"
"138","-1","1","K13",1034.73368039091,0.8,1,13,"experiment",28,"m","r"
"139","-1","1","K13",1233.01927143703,0.8,1,13,"experiment",28,"m","r"
"140","-1","1","K13",1351.70559329836,0.8,1,13,"experiment",28,"m","r"
"141","-1","1","K13",1156.93875757491,0.8,1,13,"experiment",28,"m","r"
"142","-1","1","K13",1898.02224969924,0.8,1,13,"experiment",28,"m","r"
"143","-1","1","K13",793.208802110821,0.8,0,13,"experiment",28,"m","r"
"144","-1","1","K13",1455.70681060603,0.8,0,13,"experiment",28,"m","r"
"145","-1","1","K13",1299.39473938585,0.8,1,13,"experiment",28,"m","r"
"146","-1","1","K13",1497.97087644033,0.8,1,13,"experiment",28,"m","r"
"147","-1","1","K13",1046.51962737194,0.8,1,13,"experiment",28,"m","r"
"148","-1","1","K13",1159.51155137265,0.8,1,13,"experiment",28,"m","r"
"149","-1","1","K13",1081.98253494267,0.8,1,13,"experiment",28,"m","r"
"150","-1","1","K13",1174.73140702572,0.8,1,13,"experiment",28,"m","r"
"151","-1","1","K13",1057.02123141861,0.8,1,13,"experiment",28,"m","r"
"152","-1","1","K13",1212.95571473877,0.8,1,13,"experiment",28,"m","r"
"153","-1","1","K13",1682.06378431147,0.8,1,13,"experiment",28,"m","r"
"154","-1","1","K13",1306.87861363968,0.8,1,13,"experiment",28,"m","r"
"155","-1","1","K13",965.176369071666,0.8,1,13,"experiment",28,"m","r"
"156","-1","1","K13",1066.41812754663,0.8,1,13,"experiment",28,"m","r"
"157","-1","1","K13",785.729786603614,0.8,1,13,"experiment",28,"m","r"
"158","-1","1","K13",1114.13591645207,0.8,0,13,"experiment",28,"m","r"
"159","-1","1","K13",1257.002445629,0.8,0,13,"experiment",28,"m","r"
"160","-1","1","K13",1118.78840430486,0.8,1,13,"experiment",28,"m","r"
"161","-1","1","K13",1313.33353079198,0.8,1,13,"experiment",28,"m","r"
"162","-1","1","K13",915.298245214574,0.8,0,13,"experiment",28,"m","r"
"163","-1","1","K13",1111.73742376661,0.8,0,13,"experiment",28,"m","r"
