"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","B","E",2448.2523501577,0,9,"uebung",1,29,"w","r"
"2","B","D",833.509901956952,1,9,"uebung",2,29,"w","r"
"3","B","D",662.646291914273,1,9,"uebung",3,29,"w","r"
"4","A","E",536.276823170591,1,9,"uebung",4,29,"w","r"
"5","A","D",703.258665818151,1,9,"uebung",5,29,"w","r"
"6","B","C",137.727572180809,1,9,"uebung",6,29,"w","r"
"7","B","E",1391.92927563215,0,9,"uebung",7,29,"w","r"
"8","B","D",775.17747982662,1,9,"uebung",8,29,"w","r"
"9","B","E",627.647784601613,1,9,"uebung",9,29,"w","r"
"10","A","D",227.672995588412,1,9,"uebung",10,29,"w","r"
"11","B","D",808.975123751036,1,9,"uebung",11,29,"w","r"
"12","A","E",480.403662347967,1,9,"uebung",12,29,"w","r"
"13","A","E",822.159703660267,1,9,"uebung",13,29,"w","r"
"14","B","C",560.236590013621,1,9,"uebung",14,29,"w","r"
"15","B","D",661.729748677857,1,9,"uebung",15,29,"w","r"
"16","B","C",473.66970967088,1,9,"uebung",16,29,"w","r"
"17","A","D",550.047029012069,1,9,"uebung",17,29,"w","r"
"18","A","D",529.385135274043,1,9,"uebung",18,29,"w","r"
"19","B","E",355.172605917731,0,9,"uebung",19,29,"w","r"
"20","A","D",551.032361259593,1,9,"uebung",20,29,"w","r"
"21","A","C",868.188865981206,1,9,"uebung",21,29,"w","r"
"22","B","E",617.894853376296,0,9,"uebung",22,29,"w","r"
"23","B","C",397.13108652446,1,9,"uebung",23,29,"w","r"
"24","A","C",943.388557661683,1,9,"uebung",24,29,"w","r"
"25","B","E",1171.18643890218,0,9,"uebung",25,29,"w","r"
"26","B","E",733.075048067549,0,9,"uebung",26,29,"w","r"
"27","B","E",1100.86937957114,1,9,"uebung",27,29,"w","r"
"28","B","C",248.843525391913,1,9,"uebung",28,29,"w","r"
"29","B","E",602.455550434347,0,9,"uebung",29,29,"w","r"
"30","A","D",1202.08038595297,1,9,"uebung",30,29,"w","r"
"31","B","E",821.385454524739,1,9,"uebung",31,29,"w","r"
"32","A","E",738.077349209564,0,9,"uebung",32,29,"w","r"
"33","A","D",440.066009270718,1,9,"uebung",33,29,"w","r"
"34","B","E",1646.3302744957,1,9,"uebung",34,29,"w","r"
"35","A","C",741.868491376674,1,9,"uebung",35,29,"w","r"
"36","A","D",971.94193654025,0,9,"uebung",36,29,"w","r"
"37","A","D",757.538582430258,1,9,"experiment",37,29,"w","r"
"38","A","C",405.553260815645,1,9,"experiment",38,29,"w","r"
"39","A","D",532.161500022556,1,9,"experiment",39,29,"w","r"
"40","A","C",643.877065731035,1,9,"experiment",40,29,"w","r"
"41","B","D",705.718874819455,0,9,"experiment",41,29,"w","r"
"42","B","E",921.593560988646,0,9,"experiment",42,29,"w","r"
"43","A","E",691.144979055318,1,9,"experiment",43,29,"w","r"
"44","B","D",917.824577455333,1,9,"experiment",44,29,"w","r"
"45","A","C",548.129473425987,1,9,"experiment",45,29,"w","r"
"46","A","D",1293.98291905994,1,9,"experiment",46,29,"w","r"
"47","B","E",654.344454487637,0,9,"experiment",47,29,"w","r"
"48","A","C",609.40859708432,1,9,"experiment",48,29,"w","r"
"49","B","D",917.564483232322,1,9,"experiment",49,29,"w","r"
"50","B","D",610.861850526853,1,9,"experiment",50,29,"w","r"
"51","A","C",902.225289737627,1,9,"experiment",51,29,"w","r"
"52","B","C",322.519936402769,1,9,"experiment",52,29,"w","r"
"53","A","E",765.401779789461,1,9,"experiment",53,29,"w","r"
"54","B","C",191.42304337417,1,9,"experiment",54,29,"w","r"
"55","A","D",680.926284616809,0,9,"experiment",55,29,"w","r"
"56","B","C",318.978299860278,1,9,"experiment",56,29,"w","r"
"57","A","C",450.183317874611,0,9,"experiment",57,29,"w","r"
"58","A","D",767.084597233551,1,9,"experiment",58,29,"w","r"
"59","A","C",515.192844698001,0,9,"experiment",59,29,"w","r"
"60","A","E",993.433461406459,0,9,"experiment",60,29,"w","r"
"61","A","C",483.218139735961,1,9,"experiment",61,29,"w","r"
"62","A","C",795.870218372626,1,9,"experiment",62,29,"w","r"
"63","B","C",459.878962608884,1,9,"experiment",63,29,"w","r"
"64","B","D",694.433872712093,0,9,"experiment",64,29,"w","r"
