"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","A","E",590.663897135356,1,10,"uebung",1,25,"m","r"
"2","B","E",768.244639791968,0,10,"uebung",2,25,"m","r"
"3","A","E",413.057057964509,0,10,"uebung",3,25,"m","r"
"4","B","E",2607.4816073388,1,10,"uebung",4,25,"m","r"
"5","B","C",362.450832939942,0,10,"uebung",5,25,"m","r"
"6","A","E",888.588369844784,0,10,"uebung",6,25,"m","r"
"7","B","C",441.546599071019,1,10,"uebung",7,25,"m","r"
"8","A","E",555.811533625557,1,10,"uebung",8,25,"m","r"
"9","A","C",523.696454802511,1,10,"uebung",9,25,"m","r"
"10","B","E",4203.21539639542,0,10,"uebung",10,25,"m","r"
"11","A","C",389.033248422102,0,10,"uebung",11,25,"m","r"
"12","A","C",282.841692412717,1,10,"uebung",12,25,"m","r"
"13","A","E",449.966273370658,1,10,"uebung",13,25,"m","r"
"14","B","E",268.094162170541,1,10,"uebung",14,25,"m","r"
"15","A","E",926.262043671546,1,10,"uebung",15,25,"m","r"
"16","B","C",1538.57238848642,1,10,"uebung",16,25,"m","r"
"17","A","C",521.910065075889,1,10,"uebung",17,25,"m","r"
"18","A","E",893.427313216541,1,10,"uebung",18,25,"m","r"
"19","B","D",481.27667368833,0,10,"uebung",19,25,"m","r"
"20","B","C",745.96991965547,1,10,"uebung",20,25,"m","r"
"21","A","D",650.474607441906,1,10,"uebung",21,25,"m","r"
"22","B","C",638.957217558756,1,10,"uebung",22,25,"m","r"
"23","B","D",686.401431686835,1,10,"uebung",23,25,"m","r"
"24","A","C",603.235325348291,1,10,"uebung",24,25,"m","r"
"25","A","E",506.50929581949,1,10,"uebung",25,25,"m","r"
"26","B","E",387.739190808573,0,10,"uebung",26,25,"m","r"
"27","A","C",701.187895725708,1,10,"uebung",27,25,"m","r"
"28","A","C",719.11514966789,1,10,"uebung",28,25,"m","r"
"29","B","C",1242.6738862269,1,10,"uebung",29,25,"m","r"
"30","B","E",892.237289305702,1,10,"uebung",30,25,"m","r"
"31","B","D",584.743420569386,1,10,"uebung",31,25,"m","r"
"32","B","D",2642.12749076467,1,10,"uebung",32,25,"m","r"
"33","A","D",475.986070714413,0,10,"uebung",33,25,"m","r"
"34","B","D",1031.64643736394,1,10,"uebung",34,25,"m","r"
"35","B","E",784.820751322256,0,10,"uebung",35,25,"m","r"
"36","B","C",548.125629527275,1,10,"uebung",36,25,"m","r"
"37","A","C",409.632438500934,0,10,"experiment",37,25,"m","r"
"38","A","E",473.799187503726,0,10,"experiment",38,25,"m","r"
"39","A","D",626.457966410167,0,10,"experiment",39,25,"m","r"
"40","B","E",672.50030232534,0,10,"experiment",40,25,"m","r"
"41","B","D",577.557227065711,1,10,"experiment",41,25,"m","r"
"42","B","C",520.056886979906,0,10,"experiment",42,25,"m","r"
"43","A","C",488.596042479286,1,10,"experiment",43,25,"m","r"
"44","A","E",849.221487394396,1,10,"experiment",44,25,"m","r"
"45","A","D",556.80471326437,0,10,"experiment",45,25,"m","r"
"46","B","E",338.44296468183,1,10,"experiment",46,25,"m","r"
"47","A","E",1579.38618298953,1,10,"experiment",47,25,"m","r"
"48","B","E",478.535212561436,0,10,"experiment",48,25,"m","r"
"49","B","C",1071.53712567415,1,10,"experiment",49,25,"m","r"
"50","A","C",798.076935494829,1,10,"experiment",50,25,"m","r"
"51","B","D",764.184972618992,1,10,"experiment",51,25,"m","r"
"52","A","C",651.783867925924,1,10,"experiment",52,25,"m","r"
"53","A","D",423.648123816648,0,10,"experiment",53,25,"m","r"
"54","B","D",650.988981405057,0,10,"experiment",54,25,"m","r"
"55","B","E",890.569958484596,1,10,"experiment",55,25,"m","r"
"56","B","E",713.105954204958,1,10,"experiment",56,25,"m","r"
"57","A","C",487.451403007857,1,10,"experiment",57,25,"m","r"
"58","B","C",342.850444623134,0,10,"experiment",58,25,"m","r"
"59","A","D",737.915410946826,1,10,"experiment",59,25,"m","r"
"60","A","C",792.355580156543,1,10,"experiment",60,25,"m","r"
"61","A","D",842.053529123657,1,10,"experiment",61,25,"m","r"
"62","B","D",773.774778485536,0,10,"experiment",62,25,"m","r"
"63","A","D",615.716330374832,1,10,"experiment",63,25,"m","r"
"64","B","D",756.454158879284,1,10,"experiment",64,25,"m","r"
"65","B","E",743.099499246939,0,10,"experiment",65,25,"m","r"
"66","B","C",212.509088140111,1,10,"experiment",66,25,"m","r"
"67","B","E",619.682128487187,0,10,"experiment",67,25,"m","r"
"68","B","D",920.087629813578,1,10,"experiment",68,25,"m","r"
"69","A","D",672.565130202104,1,10,"experiment",69,25,"m","r"
"70","B","C",291.080828037077,1,10,"experiment",70,25,"m","r"
"71","A","E",921.860470833572,1,10,"experiment",71,25,"m","r"
"72","B","D",571.119312148926,1,10,"experiment",72,25,"m","r"
"73","B","E",489.007784286157,1,10,"experiment",73,25,"m","r"
"74","A","E",542.329671974931,1,10,"experiment",74,25,"m","r"
"75","B","E",1136.14514033115,1,10,"experiment",75,25,"m","r"
"76","A","C",752.3030053209,1,10,"experiment",76,25,"m","r"
"77","B","C",561.982442971948,1,10,"experiment",77,25,"m","r"
"78","A","C",487.487047424484,1,10,"experiment",78,25,"m","r"
"79","B","C",517.644563452984,1,10,"experiment",79,25,"m","r"
"80","B","C",1323.50922376005,0,10,"experiment",80,25,"m","r"
"81","A","D",823.647834541672,1,10,"experiment",81,25,"m","r"
"82","B","C",1762.62795795143,1,10,"experiment",82,25,"m","r"
"83","A","C",658.761716732216,1,10,"experiment",83,25,"m","r"
"84","A","D",291.753079892328,1,10,"experiment",84,25,"m","r"
"85","A","D",438.134538876407,0,10,"experiment",85,25,"m","r"
"86","B","D",581.471260910611,1,10,"experiment",86,25,"m","r"
"87","A","C",573.072323969627,1,10,"experiment",87,25,"m","r"
"88","A","D",416.983223325482,1,10,"experiment",88,25,"m","r"
"89","A","E",1466.04468471295,1,10,"experiment",89,25,"m","r"
"90","B","D",510.377878088451,1,10,"experiment",90,25,"m","r"
"91","B","D",688.120432308453,1,10,"experiment",91,25,"m","r"
"92","B","D",737.057200959672,1,10,"experiment",92,25,"m","r"
"93","A","C",433.259513882282,1,10,"experiment",93,25,"m","r"
"94","B","C",469.176472682037,1,10,"experiment",94,25,"m","r"
"95","B","E",1096.69463705996,1,10,"experiment",95,25,"m","r"
"96","A","D",754.588895754756,1,10,"experiment",96,25,"m","r"
"97","A","E",783.518708044858,1,10,"experiment",97,25,"m","r"
"98","A","C",509.833988189728,1,10,"experiment",98,25,"m","r"
"99","B","E",674.746969649133,1,10,"experiment",99,25,"m","r"
"100","A","C",418.264184152259,1,10,"experiment",100,25,"m","r"
"101","A","C",929.596327330451,0,10,"experiment",101,25,"m","r"
"102","B","D",581.22923071453,1,10,"experiment",102,25,"m","r"
"103","B","D",1037.40666616996,1,10,"experiment",103,25,"m","r"
"104","A","E",1470.90359605707,1,10,"experiment",104,25,"m","r"
"105","B","D",591.989051879057,1,10,"experiment",105,25,"m","r"
"106","A","D",618.421597652389,1,10,"experiment",106,25,"m","r"
"107","A","C",897.124061859613,1,10,"experiment",107,25,"m","r"
"108","B","D",562.430975457791,1,10,"experiment",108,25,"m","r"
"109","B","C",2072.67585879519,0,10,"experiment",109,25,"m","r"
"110","B","D",548.811344214925,1,10,"experiment",110,25,"m","r"
"111","A","D",1241.17733313247,0,10,"experiment",111,25,"m","r"
"112","A","E",641.010356007808,0,10,"experiment",112,25,"m","r"
"113","A","D",699.338384331121,0,10,"experiment",113,25,"m","r"
"114","A","D",610.435292183351,1,10,"experiment",114,25,"m","r"
"115","A","C",332.785242545945,1,10,"experiment",115,25,"m","r"
"116","A","C",583.682044498985,0,10,"experiment",116,25,"m","r"
"117","B","D",620.173764227084,1,10,"experiment",117,25,"m","r"
"118","A","E",715.643184627711,1,10,"experiment",118,25,"m","r"
