"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","B","C",352.126449190113,1,7,"uebung",1,18,"m","r"
"2","B","E",858.533016762553,1,7,"uebung",2,18,"m","r"
"3","B","C",442.694483170318,1,7,"uebung",3,18,"m","r"
"4","A","E",728.828837969186,1,7,"uebung",4,18,"m","r"
"5","A","D",412.265972889593,0,7,"uebung",5,18,"m","r"
"6","A","D",1017.4149152907,1,7,"uebung",6,18,"m","r"
"7","B","E",1110.63964082816,1,7,"uebung",7,18,"m","r"
"8","A","D",650.234405443201,1,7,"uebung",8,18,"m","r"
"9","B","C",487.989657643574,1,7,"uebung",9,18,"m","r"
"10","A","E",758.163677819752,1,7,"uebung",10,18,"m","r"
"11","A","D",825.055675129472,1,7,"uebung",11,18,"m","r"
"12","B","C",615.634838052369,1,7,"uebung",12,18,"m","r"
"13","B","C",831.147940470785,1,7,"uebung",13,18,"m","r"
"14","B","C",353.995696410856,1,7,"uebung",14,18,"m","r"
"15","B","C",1607.36851592902,0,7,"uebung",15,18,"m","r"
"16","B","D",520.939529780452,1,7,"uebung",16,18,"m","r"
"17","A","E",972.753133953724,0,7,"uebung",17,18,"m","r"
"18","A","D",1084.34932874851,1,7,"uebung",18,18,"m","r"
"19","B","E",919.577447931378,1,7,"uebung",19,18,"m","r"
"20","B","D",1060.83754167426,0,7,"uebung",20,18,"m","r"
"21","A","C",213.315823874133,1,7,"uebung",21,18,"m","r"
"22","A","C",1407.13303280778,1,7,"uebung",22,18,"m","r"
"23","A","C",307.756198908501,0,7,"uebung",23,18,"m","r"
"24","B","C",819.588679897493,1,7,"uebung",24,18,"m","r"
"25","B","C",418.811440942996,1,7,"uebung",25,18,"m","r"
"26","A","E",900.877664856076,0,7,"uebung",26,18,"m","r"
"27","B","C",401.121221797942,1,7,"uebung",27,18,"m","r"
"28","B","E",816.302666314892,1,7,"uebung",28,18,"m","r"
"29","A","C",312.654713940609,1,7,"uebung",29,18,"m","r"
"30","A","D",883.731622492647,1,7,"uebung",30,18,"m","r"
"31","B","E",702.286214989869,1,7,"uebung",31,18,"m","r"
"32","B","C",390.865359392464,0,7,"uebung",32,18,"m","r"
"33","A","C",304.606301653249,1,7,"uebung",33,18,"m","r"
"34","A","E",715.997214142226,1,7,"uebung",34,18,"m","r"
"35","A","E",479.277000398556,1,7,"uebung",35,18,"m","r"
"36","B","D",1247.58989932565,1,7,"uebung",36,18,"m","r"
"37","A","E",544.288381490429,0,7,"experiment",37,18,"m","r"
"38","A","E",931.153285295435,0,7,"experiment",38,18,"m","r"
"39","B","C",119.351857057486,1,7,"experiment",39,18,"m","r"
"40","B","C",500.043662076702,0,7,"experiment",40,18,"m","r"
"41","B","D",610.606478801118,1,7,"experiment",41,18,"m","r"
"42","B","C",460.640740302279,1,7,"experiment",42,18,"m","r"
"43","A","D",680.522813810427,0,7,"experiment",43,18,"m","r"
"44","B","C",658.924804365818,1,7,"experiment",44,18,"m","r"
"45","B","E",996.996919646832,0,7,"experiment",45,18,"m","r"
"46","A","D",554.647994892993,1,7,"experiment",46,18,"m","r"
"47","A","C",517.529414515362,0,7,"experiment",47,18,"m","r"
"48","B","D",789.516428573251,1,7,"experiment",48,18,"m","r"
"49","B","D",690.167828229368,0,7,"experiment",49,18,"m","r"
"50","B","E",897.626401490676,1,7,"experiment",50,18,"m","r"
"51","A","D",526.254902532107,1,7,"experiment",51,18,"m","r"
"52","B","E",828.292543054135,1,7,"experiment",52,18,"m","r"
"53","A","E",859.318989463588,1,7,"experiment",53,18,"m","r"
"54","B","C",511.916240647536,1,7,"experiment",54,18,"m","r"
"55","A","C",415.007912180447,1,7,"experiment",55,18,"m","r"
"56","B","C",553.757222253375,1,7,"experiment",56,18,"m","r"
"57","A","D",1122.01425225934,1,7,"experiment",57,18,"m","r"
"58","B","D",883.200017420162,1,7,"experiment",58,18,"m","r"
"59","B","C",319.810456423954,1,7,"experiment",59,18,"m","r"
"60","B","C",38.7580283814464,1,7,"experiment",60,18,"m","r"
"61","B","D",799.812486249973,1,7,"experiment",61,18,"m","r"
"62","A","D",600.841734207474,1,7,"experiment",62,18,"m","r"
"63","A","D",3814.25302858932,1,7,"experiment",63,18,"m","r"
"64","B","E",891.543854108954,1,7,"experiment",64,18,"m","r"
"65","B","E",732.2839177055,1,7,"experiment",65,18,"m","r"
"66","A","D",1056.56690142697,1,7,"experiment",66,18,"m","r"
"67","A","E",713.882216846447,1,7,"experiment",67,18,"m","r"
"68","A","C",220.045447091231,1,7,"experiment",68,18,"m","r"
"69","A","D",525.224541618651,1,7,"experiment",69,18,"m","r"
"70","A","D",694.730220078039,1,7,"experiment",70,18,"m","r"
"71","B","C",425.424720505953,1,7,"experiment",71,18,"m","r"
"72","A","C",917.051730282308,1,7,"experiment",72,18,"m","r"
"73","B","D",931.764191440281,1,7,"experiment",73,18,"m","r"
"74","A","C",488.287722660779,1,7,"experiment",74,18,"m","r"
"75","A","E",993.177160402317,1,7,"experiment",75,18,"m","r"
"76","B","E",982.740392619499,1,7,"experiment",76,18,"m","r"
"77","A","D",501.108449186852,1,7,"experiment",77,18,"m","r"
"78","B","E",1016.35758758113,0,7,"experiment",78,18,"m","r"
"79","B","E",940.750673527234,1,7,"experiment",79,18,"m","r"
"80","B","E",2963.11897504977,0,7,"experiment",80,18,"m","r"
"81","A","E",930.787349961168,1,7,"experiment",81,18,"m","r"
"82","B","C",338.518125170531,0,7,"experiment",82,18,"m","r"
"83","B","E",838.686368416746,1,7,"experiment",83,18,"m","r"
"84","A","E",539.536919981369,1,7,"experiment",84,18,"m","r"
"85","A","E",770.751993667694,1,7,"experiment",85,18,"m","r"
"86","A","E",605.65085095133,1,7,"experiment",86,18,"m","r"
"87","B","C",985.893810133883,1,7,"experiment",87,18,"m","r"
"88","B","E",666.836584648519,1,7,"experiment",88,18,"m","r"
"89","A","E",805.028290087092,1,7,"experiment",89,18,"m","r"
"90","B","D",862.41763417648,1,7,"experiment",90,18,"m","r"
"91","A","D",735.977274220996,1,7,"experiment",91,18,"m","r"
"92","B","C",686.024529348088,1,7,"experiment",92,18,"m","r"
"93","B","D",1077.00713839492,1,7,"experiment",93,18,"m","r"
"94","B","E",1058.04712379068,0,7,"experiment",94,18,"m","r"
"95","B","C",652.656147446759,0,7,"experiment",95,18,"m","r"
"96","B","D",1183.48118356428,1,7,"experiment",96,18,"m","r"
"97","A","E",652.288149135979,1,7,"experiment",97,18,"m","r"
"98","A","E",741.74106834864,1,7,"experiment",98,18,"m","r"
"99","A","D",680.833557360263,1,7,"experiment",99,18,"m","r"
"100","B","C",337.557260728876,1,7,"experiment",100,18,"m","r"
"101","A","C",428.833002236989,1,7,"experiment",101,18,"m","r"
"102","A","E",751.176488059249,1,7,"experiment",102,18,"m","r"
"103","B","D",707.417676797118,1,7,"experiment",103,18,"m","r"
"104","A","D",565.249410530176,1,7,"experiment",104,18,"m","r"
"105","B","C",232.414160494219,1,7,"experiment",105,18,"m","r"
"106","A","D",500.909208053833,1,7,"experiment",106,18,"m","r"
"107","A","E",1145.78907425616,1,7,"experiment",107,18,"m","r"
"108","B","D",580.908915865067,1,7,"experiment",108,18,"m","r"
"109","B","D",1204.66288947785,1,7,"experiment",109,18,"m","r"
"110","B","D",1021.03245032745,1,7,"experiment",110,18,"m","r"
"111","B","E",1139.59034308038,1,7,"experiment",111,18,"m","r"
"112","B","C",435.931483066066,0,7,"experiment",112,18,"m","r"
"113","B","C",289.214125292325,1,7,"experiment",113,18,"m","r"
"114","B","C",520.98415536092,0,7,"experiment",114,18,"m","r"
"115","A","D",781.892062408939,0,7,"experiment",115,18,"m","r"
"116","A","C",346.750881838047,1,7,"experiment",116,18,"m","r"
"117","B","D",742.283529447871,1,7,"experiment",117,18,"m","r"
"118","A","E",830.981997152225,1,7,"experiment",118,18,"m","r"
"119","B","E",968.12323621824,1,7,"experiment",119,18,"m","r"
"120","B","C",827.118922749037,1,7,"experiment",120,18,"m","r"
"121","B","E",1325.88054641203,1,7,"experiment",121,18,"m","r"
